Time (seconds),x0,x1,x2,x3,x4,x5
5.934,1185,1179,0,1201,1203,0
5.944,1178,1179,0,1203,1203,0
5.954,1178,1179,0,1200,1203,0
5.965,1178,1179,0,1195,1203,0
5.974,1181,1179,0,1206,1203,0
5.986,1181,1179,0,1205,1203,0
5.997,1176,1179,0,1206,1203,0
6.008,1185,1179,0,1200,1203,0
6.018,1182,1179,0,1201,1203,0
6.029,1180,1179,0,1206,1203,0
6.041,1176,1179,0,1206,1203,0
6.051,1176,1179,0,1202,1203,0
6.061,1177,1179,0,1207,1203,0
6.069,1183,1179,0,1208,1203,0
6.078,1178,1179,0,1202,1203,0
6.087,1181,1179,0,1205,1203,0
6.097,1176,1179,0,1209,1203,0
6.108,1181,1179,0,1202,1203,0
6.121,1179,1179,0,1200,1203,0
6.132,1180,1179,0,1203,1203,0
6.144,1180,1179,0,1207,1203,0
6.155,1175,1179,0,1202,1203,0
6.167,1178,1179,0,1208,1203,0
6.178,1186,1179,0,1204,1203,0
6.188,1176,1179,0,1201,1203,0
6.196,1180,1179,0,1206,1203,0
6.205,1178,1179,0,1206,1203,0
6.213,1186,1179,0,1201,1203,0
6.221,1178,1179,0,1201,1203,0
6.231,1176,1179,0,1201,1203,0
6.239,1174,1179,0,1204,1203,0
6.247,1175,1179,0,1204,1203,0
6.256,1175,1179,0,1200,1203,0
6.265,1178,1179,0,1202,1203,0
6.276,1177,1179,0,1204,1203,0
6.286,1179,1179,0,1206,1203,0
6.296,1179,1179,0,1211,1203,0
6.305,1174,1179,0,1206,1203,0
6.313,1181,1179,0,1200,1203,0
6.321,1183,1179,0,1199,1203,0
6.33,1178,1179,0,1197,1203,0
6.339,1179,1179,0,1196,1203,0
6.346,1179,1179,0,1203,1203,0
6.354,1182,1179,0,1208,1203,0
6.36,1179,1179,0,1200,1203,0
6.368,1178,1179,0,1200,1203,0
6.375,1178,1179,0,1198,1203,0
6.383,1188,1179,0,1202,1203,0
6.391,1178,1179,0,1201,1203,0
6.399,1177,1179,0,1201,1203,0
6.407,1181,1179,0,1205,1203,0
6.416,1177,1179,0,1207,1203,0
6.423,1179,1179,0,1199,1203,0
6.432,1181,1179,0,1198,1203,0
6.44,1177,1179,0,1203,1203,0
6.447,1178,1179,0,1205,1203,0
6.454,1179,1179,0,1204,1203,0
6.462,1179,1179,0,1201,1203,0
6.471,1180,1179,0,1214,1203,0
6.478,1183,1179,0,1217,1203,0
6.485,1184,1179,0,1241,1203,0
6.493,1176,1179,0,1372,1203,169
6.5,1182,1179,0,1454,1203,251
6.508,1181,1179,0,1465,1203,262
6.515,1178,1179,0,1455,1203,252
6.522,1181,1179,0,1461,1203,258
6.53,1178,1179,0,1456,1203,253
6.538,1178,1179,0,1470,1203,267
6.546,1177,1179,0,1480,1203,277
6.552,1176,1179,0,1471,1203,268
6.56,1181,1179,0,1475,1203,272
6.567,1179,1179,0,1476,1203,273
6.575,1179,1179,0,1483,1203,280
6.584,1175,1179,0,1482,1203,279
6.594,1180,1179,0,1467,1203,264
6.606,1180,1179,0,1471,1203,268
6.615,1178,1179,0,1469,1203,266
6.624,1179,1179,0,1471,1203,268
6.634,1177,1179,0,1483,1203,280
6.643,1182,1179,0,1469,1203,266
6.653,1178,1179,0,1465,1203,262
6.662,1180,1179,0,1462,1203,259
6.672,1178,1179,0,1447,1203,244
6.683,1181,1179,0,1429,1203,226
