# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.38, 0.0319375, -4.74241, -1.17651, -2.08987, -2.2224, -1.64148, -1.40018, -4.44053, -3.36427, -4.08035, -3.22858, -3.707, -2.57113, -3.44045, -3.65524, -3.27425, -2.43575, -2.12352, -2.59027, -1.88722, -2.94672
0.39, 0.0319375, -5.20205, -1.13941, -2.17767, -2.31779, -1.5869, -1.58207, -4.46618, -3.29549, -4.20088, -3.11501, -3.72942, -2.64782, -3.73153, -3.65327, -3.32761, -2.34226, -2.10502, -2.88099, -2.07743, -3.01594
0.4, 0.0319375, -5.26091, -1.09567, -2.14617, -3.07278, -1.65492, -1.74164, -4.612, -3.30695, -4.26918, -3.04492, -3.87125, -2.83575, -3.79488, -3.6781, -3.43249, -2.42508, -2.21883, -2.96199, -2.20022, -3.03305
0.41, 0.0319375, -5.34804, -1.08863, -2.06783, -2.80264, -1.53917, -1.58123, -4.58982, -3.35809, -4.42886, -3.11052, -3.75416, -2.7825, -3.53855, -3.58347, -3.40205, -2.43163, -2.27875, -2.77502, -2.44996, -3.10281
0.42, 0.0319375, -5.47149, -1.10123, -2.30504, -3.36747, -1.60996, -1.61457, -5.66506, -3.36829, -4.65989, -3.03849, -3.83275, -2.81317, -3.70954, -3.62483, -3.56601, -2.42385, -2.29975, -2.64669, -2.26236, -2.95916
0.43, 0.0319375, -5.19605, -1.11587, -2.42025, -3.26386, -1.60326, -1.81647, -5.31855, -3.41124, -4.98289, -2.98783, -3.87332, -3.06473, -4.0171, -3.6879, -3.6186, -2.40148, -2.37525, -2.67414, -1.94212, -3.101
0.44, 0.0319375, -4.39871, -1.07878, -2.48051, -2.78312, -1.36094, -1.87578, -4.6378, -3.16331, -4.58276, -2.90471, -4.05763, -3.37881, -3.68418, -3.48025, -3.73096, -2.39944, -2.43812, -2.64929, -1.96873, -3.11471
0.45, 0.0319375, -4.12707, -1.05374, -2.61376, -3.38108, -1.2994, -1.81703, -4.40203, -3.08468, -4.592, -2.83677, -4.186, -3.42841, -3.42826, -3.45851, -3.91841, -2.65864, -2.77022, -3.00469, -2.48296, -3.24913
0.46, 0.0319375, -3.80184, -1.00736, -2.69442, -3.02499, -1.23461, -2.05278, -4.23416, -3.29633, -4.23763, -2.96961, -4.28383, -3.49969, -3.35527, -3.50692, -3.96735, -2.62201, -2.72903, -2.82049, -2.10709, -3.06014
0.47, 0.0319375, -3.53295, -1.02867, -2.79416, -3.00721, -1.18732, -2.31389, -4.01061, -3.30439, -3.98912, -3.15153, -4.15062, -3.7267, -3.54141, -3.6506, -3.72456, -2.56684, -2.87753, -3.13231, -2.49481, -3.23305
0.48, 0.0319375, -3.27973, -1.25675, -3.24928, -2.88906, -0.964669, -2.40761, -4.00017, -3.4182, -4.04107, -3.36721, -3.95172, -3.71237, -3.59383, -3.84143, -3.84915, -2.87487, -3.02095, -3.3081, -2.5933, -3.05303
0.49, 0.0319375, -2.9086, -1.26591, -3.68227, -3.1362, -0.745339, -2.54803, -3.54915, -3.4884, -3.82478, -3.56137, -3.79003, -3.60409, -3.53167, -3.89456, -3.67332, -2.76344, -2.72466, -3.00989, -2.28693, -2.82235
0.5, 0.0319375, -2.46156, -1.2481, -3.53898, -2.68424, -0.532584, -3.15071, -3.17417, -3.50618, -3.72076, -3.82013, -3.64331, -3.61926, -3.64498, -3.88665, -3.58577, -2.56648, -2.68069, -2.89099, -2.04711, -2.89198
0.51, 0.0319375, -2.1124, -1.59584, -4.11765, -1.78362, -0.383806, -3.42437, -2.58361, -3.60185, -3.58927, -3.9156, -3.63442, -3.5662, -3.90735, -4.0371, -3.44601, -2.49041, -2.62502, -2.90323, -2.16671, -2.86396
0.52, 0.0319375, -1.79454, -1.86722, -4.57526, -1.07367, -0.429997, -3.47499, -2.17208, -3.997, -3.50131, -3.70739, -3.76454, -3.12653, -4.32626, -4.47133, -3.49716, -2.72535, -2.55091, -3.09856, -2.49635, -3.21858
0.53, 0.0319375, -1.71681, -2.262, -4.29957, -0.766627, -0.763383, -2.91674, -2.22208, -4.30336, -3.80724, -3.34289, -3.78755, -3.38635, -4.13231, -4.44979, -3.81177, -2.63561, -2.72359, -2.97296, -2.58995, -3.00951
0.54, 0.0319375, -1.70587, -2.92989, -3.7737, -0.455392, -1.15901, -2.24437, -2.50965, -3.80135, -3.8831, -3.05201, -3.66595, -3.29181, -3.64256, -4.36518, -4.06055, -2.74382, -3.02344, -3.293, -2.85527, -3.31424
0.55, 0.0319375, -1.82241, -3.20122, -3.21095, -0.440179, -1.83413, -1.78657, -3.06978, -3.31941, -3.86583, -3.4654, -3.51094, -2.97053, -3.48025, -4.27341, -4.00306, -2.95396, -3.06576, -3.23694, -2.69598, -3.27207
0.56, 0.0319375, -1.96088, -3.23056, -2.43062, -0.739922, -2.90038, -1.84881, -3.5035, -3.37571, -4.30398, -3.85835, -3.61532, -3.23554, -3.54257, -4.47464, -3.96413, -2.88844, -2.84413, -3.28847, -2.62273, -3.20316
0.57, 0.0319375, -2.09771, -3.92817, -1.77421, -0.786862, -2.82549, -1.97768, -3.72926, -3.49037, -3.88974, -3.9639, -3.61165, -3.19115, -3.76366, -4.30037, -4.18481, -2.85549, -2.93793, -3.27768, -2.62078, -3.09821
0.58, 0.0319375, -2.59436, -3.48835, -1.10794, -0.94518, -1.97995, -2.05008, -3.04001, -3.45879, -3.36905, -3.57175, -3.5612, -3.05585, -3.60133, -4.26241, -4.18055, -2.71553, -2.96117, -3.08973, -2.59861, -3.35203
0.59, 0.0319375, -2.55449, -3.26699, -0.945936, -1.59121, -1.28442, -2.42354, -2.43948, -3.41907, -3.56272, -3.55656, -3.6621, -2.9882, -3.69402, -4.41281, -4.12225, -2.76144, -2.96336, -3.18749, -2.83209, -3.85899
0.6, 0.0319375, -3.02054, -2.73393, -1.31189, -1.32378, -0.828212, -2.1639, -2.59466, -3.3043, -3.79712, -3.82758, -3.50582, -2.8895, -3.83538, -4.19437, -4.06489, -2.98823, -3.11894, -3.59499, -2.9309, -4.03802
0.61, 0.0319375, -3.31902, -2.53855, -2.27089, -0.759891, -0.963768, -1.90921, -2.84972, -3.54486, -3.93376, -3.82551, -3.57204, -2.9263, -3.81421, -4.26187, -4.101, -3.23894, -3.51314, -3.73333, -3.09952, -3.86528
0.62, 0.0319375, -4.76429, -3.12746, -2.97341, -0.739938, -1.58666, -2.46786, -2.92081, -3.66584, -3.86565, -3.70225, -3.77223, -3.41598, -3.89604, -4.4155, -4.05686, -3.113, -3.55547, -3.79273, -3.23479, -4.0237
0.63, 0.0319375, -4.8014, -3.28668, -2.35525, -1.49927, -2.01287, -2.92017, -3.45917, -3.84919, -4.09857, -4.16953, -4.09569, -3.44129, -4.08494, -4.72037, -4.18462, -3.58484, -3.76351, -3.87348, -3.38441, -4.39277
0.64, 0.0319375, -3.95242, -3.98798, -2.52899, -2.06105, -2.29703, -3.35441, -4.10159, -4.62294, -4.85585, -4.89699, -4.8885, -3.95336, -4.67948, -5.25362, -4.85775, -4.25646, -4.4337, -4.68071, -4.07903, -4.61825
0.65, 0.0319375, -3.98479, -4.13742, -3.53007, -2.82597, -3.18726, -4.44049, -5.08976, -5.96918, -5.93903, -5.50565, -5.89108, -5.42278, -5.7898, -6.08369, -5.85307, -5.38519, -5.47932, -5.31152, -4.85769, -5.13093
0.66, 0.0319375, -4.73451, -4.79134, -4.35787, -3.09615, -3.46418, -4.31674, -5.58006, -5.95629, -5.96344, -5.4783, -5.17169, -4.90307, -5.70938, -5.98142, -5.5066, -5.48186, -5.6721, -5.62469, -4.96206, -5.31163
0.67, 0.0319375, -4.69109, -4.93124, -4.4148, -3.49481, -3.3861, -4.50328, -5.48161, -5.50006, -6.01157, -5.4039, -5.12037, -4.68488, -5.6372, -5.91272, -5.4026, -5.41165, -5.61327, -5.47904, -4.97447, -5.26378
0.68, 0.0319375, -4.06803, -3.98529, -4.2822, -3.56993, -3.57483, -4.76699, -5.70329, -5.51361, -5.71539, -5.03422, -4.68074, -4.24379, -5.15994, -5.74192, -5.24571, -4.36084, -4.91223, -5.13622, -4.49912, -4.52017
0.69, 0.0319375, -3.26803, -2.28249, -3.68957, -2.62166, -2.32366, -4.03318, -5.0988, -5.26597, -4.93417, -4.272, -3.82312, -3.23122, -4.37075, -5.1773, -4.39296, -3.50433, -3.87032, -4.30678, -3.5133, -3.57354
0.7, 0.0319375, -2.87288, -1.78842, -3.25329, -1.93263, -1.95491, -3.56791, -4.25903, -4.84789, -4.71967, -3.72157, -3.64312, -2.7556, -4.08249, -4.86993, -3.89288, -2.99772, -3.57148, -3.62848, -3.07908, -3.16283
0.71, 0.0319375, -3.23738, -1.96816, -3.23466, -2.26214, -1.68878, -3.51992, -4.37697, -4.83635, -4.79737, -3.49574, -3.15929, -2.6764, -3.90668, -4.33601, -3.3526, -2.82119, -3.63351, -3.30964, -2.62423, -3.02801
0.72, 0.0319375, -3.02976, -2.05155, -3.81644, -2.75768, -1.93744, -3.06053, -4.14555, -4.41257, -4.41899, -3.5719, -2.85659, -2.88204, -3.65656, -4.31581, -3.52814, -2.79769, -3.74847, -3.3048, -2.61105, -2.7258
0.73, 0.0319375, -3.40671, -2.09508, -2.99487, -2.66802, -2.13426, -3.45912, -4.34562, -4.26026, -4.08649, -3.45151, -2.66798, -2.69783, -3.59682, -4.16995, -3.3982, -2.95713, -3.7223, -3.18158, -2.47878, -2.51937
0.74, 0.0319375, -3.3075, -2.32034, -3.48817, -2.74397, -2.14545, -3.56109, -3.88375, -3.9777, -4.08127, -3.44853, -2.74826, -2.93724, -3.42694, -4.09496, -3.39734, -2.96885, -3.61269, -3.11173, -2.48493, -2.71586
0.75, 0.0319375, -3.92939, -2.81436, -3.70324, -3.08882, -1.89895, -3.25971, -3.94645, -3.84028, -4.41575, -3.51185, -3.12084, -3.11705, -3.71293, -4.24819, -3.62794, -3.03171, -3.56291, -3.20262, -2.8026, -2.95818
