# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.33, 0.0319375, 0.193105, 0.149727, 0.165064, 0.296081, 0.893815, 0.644395, 0.301264, 0.441748, 0.317971, 0.225279, 0.319522, 0.357055, 0.812642, 0.979818, 0.446009, 0.566184, 0.429775, 0.418347, 0.339569, 0.777747, 0.77312, 0.570433, 0.567365, 0.536809, 0.485605, 0.565299, 0.730378, 0.496994, 0.907304, 0.832587, 0.821042, 0.786239, 0.716751, 0.723227, 0.636833, 0.394191, 0.478657, 0.567911, 0.551974, 0.877811, 0.893679, 1.00343, 1.1994, 1.51686, 1.50745, 1.37059, 1.14573, 0.666574, 0.621761, 0.719281
0.34, 0.0319375, 0.223505, 0.14442, 0.153164, 0.217002, 0.944797, 0.828105, 0.58458, 0.230003, 0.411897, 0.373122, 0.591065, 0.556913, 0.570516, 0.657541, 0.232232, 0.531983, 0.58449, 0.32501, 0.437067, 0.729218, 0.486017, 0.479271, 0.877825, 0.753714, 0.752891, 0.723974, 0.881829, 0.723568, 0.987502, 0.828786, 0.700251, 0.750531, 0.811536, 0.554156, 0.485033, 0.377756, 0.313069, 0.495266, 0.617245, 0.837793, 0.794171, 0.991031, 0.891215, 1.36408, 1.52507, 1.34555, 0.988871, 0.848543, 0.764089, 0.78098
0.35, 0.0319375, 0.0798087, 0.0217479, 0.158343, 0.270319, 1.05623, 0.732584, 0.442313, 0.340539, 0.335709, 0.345258, 0.513252, 0.437687, 0.65609, 0.819094, 0.404429, 0.538419, 0.587923, 0.600049, 0.51325, 0.448581, 0.428346, 0.433647, 0.643195, 0.572684, 0.68977, 0.46055, 0.539884, 0.668387, 0.866342, 1.06532, 0.59451, 0.805606, 0.812014, 0.696961, 0.475824, 0.356424, 0.299907, 0.415537, 0.475796, 0.677285, 0.716805, 1.1343, 1.05096, 1.14569, 1.87734, 1.51736, 1.10212, 0.814591, 0.621883, 0.715557
0.36, 0.0319375, 0.265586, 0.193743, 0.206334, 0.36941, 1.08632, 0.795699, 0.246486, 0.32926, 0.452292, 0.231841, 0.281179, 0.339427, 0.382854, 0.707608, 0.476868, 0.422278, 0.406682, 0.630969, 0.623938, 0.630802, 0.450225, 0.469173, 0.587786, 0.666708, 0.729342, 0.435541, 0.598089, 0.724756, 0.529798, 0.981377, 0.803392, 0.967954, 0.742687, 0.753933, 0.666847, 0.518317, 0.356425, 0.507981, 0.619166, 0.710919, 0.829657, 1.09326, 1.03936, 1.3036, 1.47614, 1.33325, 1.03732, 0.760454, 0.618825, 0.639693
0.37, 0.0319375, 0.260914, 0.233533, 0.116268, 0.367171, 0.966615, 0.77887, 0.589984, 0.327671, 0.528394, 0.318608, 0.358872, 0.435468, 0.389945, 0.853801, 0.597768, 0.501645, 0.510721, 0.587503, 0.309769, 0.607943, 0.499198, 0.372452, 0.49071, 0.572087, 0.658223, 0.357456, 0.72624, 0.840475, 0.676144, 0.630138, 0.783016, 0.831156, 0.68241, 0.68175, 0.662356, 0.595154, 0.380861, 0.479678, 0.665276, 0.74622, 0.704603, 0.938879, 1.34545, 1.66127, 1.54435, 1.3547, 0.855074, 0.603766, 0.704554, 0.548664
0.38, 0.0319375, 0.34034, 0.233934, 0.185281, 0.456662, 1.11123, 0.791383, 0.716412, 0.483511, 0.4333, 0.324461, 0.444104, 0.469609, 0.464624, 0.92914, 0.626459, 0.830693, 0.574851, 0.658643, 0.491592, 0.379005, 0.264314, 0.330419, 0.414015, 0.554127, 0.47822, 0.333697, 0.646787, 0.913081, 0.899611, 0.994626, 0.83865, 0.974065, 0.834197, 0.720218, 0.657156, 0.689177, 0.434378, 0.380186, 0.544934, 0.745628, 0.755891, 0.748798, 1.14873, 1.66424, 1.57061, 1.3427, 0.895013, 0.622643, 0.646009, 0.690541
0.39, 0.0319375, 0.217841, 0.0951611, 0.172927, 0.36399, 1.05367, 0.78023, 0.591761, 0.348207, 0.416756, 0.209356, 0.345288, 0.321689, 0.357948, 0.727746, 0.360244, 0.64257, 0.465536, 0.562433, 0.415505, 0.574753, 0.391315, 0.544094, 0.744313, 0.484238, 0.471624, 0.350152, 0.566706, 0.745578, 0.929416, 0.863196, 0.794892, 0.760844, 0.648745, 0.677839, 0.705692, 0.672574, 0.469018, 0.526855, 0.48767, 0.827638, 0.807894, 0.762662, 1.25174, 1.43852, 1.49143, 1.19862, 0.90519, 0.601919, 0.621915, 0.642198
0.4, 0.0319375, 0.225836, 0.116736, 0.168875, 0.376936, 1.05014, 0.861557, 0.617654, 0.469982, 0.518886, 0.537331, 0.53134, 0.596298, 0.698031, 0.767715, 0.529608, 0.702419, 0.435273, 0.490966, 0.594517, 0.563431, 0.592721, 0.565275, 0.591047, 0.632856, 0.705761, 0.512901, 0.51071, 0.680313, 0.750299, 0.722697, 0.994255, 0.895977, 0.652887, 0.629405, 0.713252, 0.511835, 0.493269, 0.553869, 0.740327, 0.721092, 0.770806, 0.78718, 1.36317, 1.40451, 1.4646, 1.24044, 0.972225, 0.716471, 0.601865, 0.559305
0.41, 0.0319375, 0.31872, 0.199366, 0.300064, 0.312943, 1.05021, 0.714092, 0.321597, 0.246622, 0.235621, 0.297247, 0.508518, 0.567821, 0.508645, 0.928295, 0.484802, 0.463732, 0.383115, 0.423167, 0.629997, 0.81724, 0.5543, 0.3963, 0.36875, 0.49818, 0.485987, 0.470964, 0.393787, 0.691351, 0.59441, 0.726968, 0.940621, 0.759449, 0.701738, 0.681355, 0.665642, 0.523534, 0.394057, 0.4839, 0.591384, 0.812311, 0.934457, 0.873685, 1.30816, 1.58164, 1.45625, 1.30038, 0.982066, 0.710117, 0.645412, 0.717471
0.42, 0.0319375, 0.167149, 0.0143024, 0.268539, 0.358175, 1.07141, 0.755517, 0.288478, 0.283762, 0.146627, 0.0908312, 0.338407, 0.622591, 0.527634, 0.645836, 0.334528, 0.35728, 0.357858, 0.490446, 0.616628, 1.04189, 0.353298, 0.626116, 0.554468, 0.603347, 0.424813, 0.307149, 0.263207, 0.506149, 0.822492, 0.608615, 0.677617, 0.713666, 0.857408, 0.663875, 0.867162, 0.694863, 0.414061, 0.613933, 0.60631, 0.668751, 0.899225, 1.10497, 1.49225, 1.597, 1.53017, 1.54558, 1.1766, 0.791868, 0.748624, 0.766662
