# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.2, 0.0319375, 0.123978, 0.0356352, 0.152728, 0.309938, 0.695946, 0.351434, 0.580459, 0.659945, 0.527292, 0.377176, 0.522756, 0.339886, 0.402622, 0.517759, 0.602328, 0.495247, 0.788936, 0.735998, 0.636994, 0.51928, 0.496668, 0.545071, 0.217688, 0.413996, 0.64871, 0.589146, 0.525917, 0.914431, 1.01261, 0.695521, 0.636854, 0.696378, 0.966222, 0.597048, 0.802522, 0.837098, 0.796555, 0.748825, 0.696226, 1.0378, 1.05714, 1.14028, 1.44491, 1.88184, 1.82072, 1.57916, 0.981721, 0.766868, 0.774107, 0.757302
0.21, 0.0319375, 0.227962, 0.154057, 0.21183, 0.245022, 0.672773, 0.473496, 0.402533, 0.304597, 0.367727, 0.348598, 0.391238, 0.38315, 0.320415, 0.422284, 0.527842, 0.679116, 0.62558, 0.602603, 0.41956, 0.622202, 0.519451, 0.665657, 0.386345, 0.471038, 0.539079, 0.570615, 0.513291, 0.712273, 0.609677, 0.334051, 0.532945, 0.564611, 0.710514, 0.503603, 1.04466, 0.81808, 0.703283, 0.757091, 0.708646, 0.992864, 1.19178, 0.971505, 1.35865, 1.64512, 1.51622, 1.28713, 0.93352, 0.679205, 0.643251, 0.750329
0.22, 0.0319375, 0.199535, 0.0621393, 0.155184, 0.190047, 0.755175, 0.431364, 0.620904, 0.801023, 0.332554, 0.288188, 0.254198, 0.426617, 0.449658, 0.34202, 0.658633, 0.825935, 0.522991, 0.364077, 0.328551, 0.701752, 0.806978, 0.609338, 0.483785, 0.646107, 0.402874, 0.514893, 0.706552, 0.623388, 0.568675, 0.416394, 0.683685, 0.828075, 0.545, 0.491359, 0.866454, 0.764146, 0.547632, 0.812117, 0.866924, 0.928875, 1.25349, 1.06526, 1.37144, 1.80891, 1.52861, 1.33296, 0.896645, 0.768878, 0.688164, 0.842663
0.23, 0.0319375, 0.300643, 0.140879, 0.151917, 0.387799, 0.917023, 0.602112, 0.764128, 0.582542, 0.456852, 0.245376, 0.356143, 0.482123, 0.576435, 0.483129, 0.643602, 0.680063, 0.532118, 0.486786, 0.396416, 0.763361, 0.74125, 0.569525, 0.715985, 0.728962, 0.422904, 0.525544, 0.530911, 0.59547, 0.739004, 0.513257, 0.683413, 0.735503, 0.617357, 0.515928, 0.983923, 0.713738, 0.628695, 0.899131, 0.724176, 1.12658, 1.55701, 1.00651, 1.31192, 1.88772, 1.70095, 1.28794, 0.849348, 0.568711, 0.550917, 0.741698
0.24, 0.0319375, 0.12304, 0.158765, 0.139767, 0.424537, 0.992912, 0.643446, 0.737189, 0.46078, 0.421059, 0.194235, 0.198778, 0.331934, 0.560971, 0.633382, 0.489672, 0.661132, 0.63214, 0.564911, 0.562342, 0.635303, 0.878095, 0.668878, 0.672956, 0.813977, 0.412881, 0.548712, 0.763203, 0.857567, 0.857718, 0.482105, 0.508678, 0.672821, 0.480448, 0.590879, 1.04341, 0.890823, 0.78603, 0.76458, 0.628843, 0.870078, 1.32783, 0.852081, 1.38118, 1.73666, 1.79329, 1.33569, 0.804236, 0.655309, 0.552307, 0.610105
0.25, 0.0319375, 0.090686, 0.10143, 0.160655, 0.302915, 0.951819, 0.64269, 0.599544, 0.505169, 0.342181, 0.412691, 0.233463, 0.337764, 0.335251, 0.378052, 0.561545, 0.47611, 0.63838, 0.57211, 0.565968, 0.649202, 0.752013, 0.674498, 0.442951, 0.483223, 0.395955, 0.335043, 0.596778, 0.791503, 0.703494, 0.637474, 0.767648, 0.803221, 0.380516, 0.467942, 1.00945, 0.73774, 0.670232, 0.620641, 0.60891, 0.828182, 1.00867, 1.08621, 1.38598, 1.60989, 1.61494, 1.29155, 0.85959, 0.751206, 0.489999, 0.632198
0.26, 0.0319375, 0.186566, 0.161344, 0.213076, 0.358852, 0.789208, 0.497847, 0.474246, 0.456642, 0.507329, 0.336189, 0.228569, 0.363624, 0.382343, 0.424658, 0.444608, 0.603271, 0.78846, 0.48449, 0.582336, 0.786473, 0.584034, 0.663989, 0.634613, 0.601336, 0.403823, 0.321854, 0.54175, 0.584554, 0.668573, 0.705512, 0.83565, 0.844223, 0.679426, 0.59898, 1.1308, 0.731566, 0.662954, 0.594792, 0.781688, 0.95913, 0.972688, 1.1018, 1.26553, 1.61812, 1.53991, 1.11092, 0.937272, 0.840696, 0.802865, 0.840427
0.27, 0.0319375, 0.136364, 0.20258, 0.387964, 0.534531, 0.708567, 0.406879, 0.51978, 0.380828, 0.477364, 0.343449, 0.277622, 0.391689, 0.638339, 0.718426, 0.552135, 0.786541, 0.795352, 0.470777, 0.51908, 0.593631, 0.764733, 0.877873, 0.594849, 0.446713, 0.453594, 0.517469, 0.449046, 0.629766, 0.862188, 0.703532, 0.969374, 0.833754, 0.636933, 0.535651, 1.03706, 0.760989, 0.516297, 0.588144, 0.641579, 0.857056, 0.799071, 1.11021, 1.66869, 1.47433, 1.50581, 1.17679, 0.84489, 0.771095, 0.899087, 0.847762
0.28, 0.0319375, 0.214095, 0.0798863, 0.173593, 0.324023, 0.700616, 0.504472, 0.53186, 0.375861, 0.455173, 0.260207, 0.303226, 0.405349, 0.431233, 0.788816, 0.486917, 0.477319, 0.928083, 0.650536, 0.695857, 0.595999, 0.638138, 0.5405, 0.512991, 0.396657, 0.457398, 0.737835, 0.533403, 0.832178, 0.794688, 0.640929, 0.659131, 0.58198, 0.536068, 0.555106, 1.23731, 0.808003, 0.774806, 0.490052, 0.708963, 0.838649, 0.918738, 1.17582, 1.38309, 1.71021, 1.89921, 1.4232, 1.0047, 0.608552, 0.681907, 0.791821
0.29, 0.0319375, 0.306058, 0.279445, 0.221288, 0.332255, 0.761598, 0.437922, 0.610723, 0.47738, 0.64605, 0.308676, 0.239642, 0.506698, 0.60192, 0.553748, 0.373583, 0.366884, 0.676212, 0.600181, 0.579063, 0.654464, 0.557883, 0.343643, 0.468985, 0.364202, 0.380551, 0.474163, 0.436942, 0.782884, 0.947431, 0.576356, 0.741742, 0.824024, 0.594712, 0.608342, 1.04326, 0.574323, 0.713294, 0.606761, 0.700351, 1.01664, 0.952073, 1.18754, 1.61417, 1.88511, 1.85328, 1.23961, 0.968753, 0.693194, 0.701677, 0.586394
