# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
2.07, 0, 0.051829, -0.117349, -0.0036977, -0.0286496, -0.0458393, -0.00572991
2.09, 0, 0.051554, -0.117532, -0.00372826, 0.0305595, -0.0630291, 0.00381994
2.11, 0, 0.051829, -0.117226, -0.00348379, 0.0763989, -0.0553892, 0.0133698
2.13, 0, 0.0519512, -0.116829, -0.00381994, 0.0897687, -0.0783088, 0.0114598
2.15, 0, 0.0520429, -0.11689, -0.00357547, 0.0840387, -0.0897687, 0.00572991
2.17, 0, 0.0520123, -0.117074, -0.00317819, 0.064939, -0.0802188, 0.00190997
2.19, 0, 0.0519818, -0.11686, -0.00326987, 0.0477493, -0.066849, 0
2.21, 0, 0.0517984, -0.116982, -0.00311707, 0.0477493, -0.0725789, 0.00572991
2.23, 0, 0.0521957, -0.117196, -0.00342267, 0.0630291, -0.0954986, 0.00954986
2.25, 0, 0.0522263, -0.116982, -0.00299484, 0.0783088, -0.0840387, 0.0171897
2.27, 0, 0.0521346, -0.116554, -0.00333099, 0.0935886, -0.0725789, 0.0190997
2.29, 0, 0.0523485, -0.116707, -0.0038505, 0.0534792, -0.0821288, 0.00763989
2.31, 0, 0.0523485, -0.117165, -0.00339211, 0.0477493, -0.0821288, 0.00954986
2.33, 0, 0.0518596, -0.116921, -0.00293372, 0.0993185, -0.0974085, 0
2.35, 0, 0.0516151, -0.116401, -0.00330043, 0.0763989, -0.0993185, -0.00381994
2.37, 0, 0.0524707, -0.116676, -0.00317819, 0.0420194, -0.105048, -0.00381994
2.39, 0, 0.0526847, -0.116768, -0.0030254, 0.0592091, -0.070669, -0.0248296
2.41, 0, 0.0522568, -0.11686, -0.00323931, 0.068759, -0.0439293, -0.0114598
2.43, 0, 0.0517067, -0.116921, -0.00326987, 0.0534792, -0.0362895, -0.00954986
2.45, 0, 0.0524096, -0.117257, -0.00342267, 0.0592091, -0.0362895, -0.00763989
2.47, 0, 0.0522568, -0.117471, -0.00333099, 0.0840387, -0.0324695, -0.0133698
2.49, 0, 0.0521957, -0.117135, -0.00330043, 0.131788, -0.0515692, -0.00954986
2.51, 0, 0.051829, -0.116799, -0.00336155, 0.118418, -0.0496593, -0.00954986
2.53, 0, 0.0519818, -0.11689, -0.0028726, 0.0974085, -0.0916786, -0.00190997
2.55, 0, 0.0516151, -0.116585, -0.00290316, 0.0553892, -0.118418, -0.00190997
2.57, 0, 0.0520735, -0.116493, -0.0030254, -0.0248296, -0.137518, -0.0152798
2.59, 0, 0.0524096, -0.117135, -0.00305595, -0.070669, -0.143248, -0.0286496
2.61, 0, 0.0523179, -0.117257, -0.00330043, -0.00381994, -0.116508, -0.0190997
2.63, 0, 0.0521651, -0.117043, -0.00357547, 0.0305595, -0.114598, -0.00763989
2.65, 0, 0.0520735, -0.116768, -0.00342267, 0.0362895, -0.0935886, -0.00572991
2.67, 0, 0.0522874, -0.117074, -0.00320875, 0.0630291, -0.0935886, 0.0114598
2.68, 0, 0.052104, -0.11689, -0.00290316, 0.0783088, -0.0916786, 0.00763989
2.7, 0, 0.0520429, -0.116829, -0.00275036, 0.0630291, -0.0954986, -0.00190997
2.72, 0, 0.0520123, -0.116951, -0.00299484, 0.0515692, -0.0916786, -0.00190997
2.74, 0, 0.0524096, -0.117043, -0.00330043, 0.0802188, -0.0840387, -0.0190997
