# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
2.20244, 0, -0.006222, -0.124165, -0.007259, -0.153125, -0.330312, 0.0678125
2.21809, 0, -0.005246, -0.126484, -0.0079605, -0.321562, -0.417812, 0.115938
2.23374, 0, -0.0038125, -0.126727, -0.009821, -0.273438, -0.385, 0.105
2.25278, 0, -0.002989, -0.125843, -0.010431, -0.109375, -0.378437, 0.013125
2.27182, 0, -0.003111, -0.125233, -0.010553, -0.0065625, -0.334688, -0.06125
2.30308, 0, -0.002867, -0.124867, -0.0118035, 0.100625, -0.286563, -0.115938
2.31863, 0, -0.003416, -0.125202, -0.0105225, 0.056875, -0.220938, -0.153125
2.33418, 0, -0.003843, -0.124074, -0.009211, 0.0634375, -0.175, -0.1575
2.361, 0, -0.004819, -0.123281, -0.0091805, 0.0065625, -0.144375, -0.146563
2.38781, 0, -0.0052765, -0.124409, -0.009028, -0.205625, -0.203438, -0.144375
2.41905, 0, -0.0049715, -0.124745, -0.009516, -0.27125, -0.290938, -0.172813
2.4378, 0, -0.0032635, -0.123799, -0.0099735, -0.2275, -0.389375, -0.181562
2.45655, 0, -0.00366, -0.123342, -0.010126, -0.282187, -0.2975, -0.11375
2.47217, 0, -0.004209, -0.123677, -0.009577, -0.365312, -0.35, -0.030625
2.48781, 0, -0.0038125, -0.123891, -0.0093025, -0.334688, -0.433125, 0.0525
2.50345, 0, -0.0031415, -0.124562, -0.010126, -0.34125, -0.461563, 0.0984375
2.53469, 0, -0.0025925, -0.125477, -0.010858, -0.363125, -0.424375, 0.126875
2.55334, 0, -0.0020435, -0.125416, -0.01098, -0.360938, -0.356562, 0.137812
2.57199, 0, -0.001952, -0.125263, -0.01098, -0.406875, -0.255937, 0.083125
2.6033, 0, -0.00122, -0.125813, -0.011712, -0.49, -0.118125, 0.004375
2.62099, 0, -0.001037, -0.125782, -0.0121085, -0.485625, 0.021875, -0.0328125
2.63867, 0, -0.001525, -0.124196, -0.012566, -0.354375, 0.1225, -0.0546875
2.65636, 0, -0.002379, -0.123708, -0.0122305, -0.293125, 0.199062, -0.0503125
2.67198, 0, -0.0037515, -0.126239, -0.012749, -0.422188, 0.293125, 0.013125
2.68761, 0, -0.004636, -0.126971, -0.013542, -0.264688, 0.286563, 0.0546875
2.70324, 0, -0.0047275, -0.12566, -0.012932, -0.013125, 0.194688, 0.0459375
2.71887, 0, -0.005368, -0.125538, -0.011712, 0.06125, 0.137812, -0.0065625
2.75629, 0, -0.005002, -0.125142, -0.0117425, 0.155312, 0.0678125, -0.056875
2.76404, 0, -0.0060085, -0.125263, -0.0125355, 0.199062, -0.0153125, -0.0678125
2.77179, 0, -0.007076, -0.127154, -0.0131455, 0.083125, -0.142188, -0.07875
2.80317, 0, -0.005612, -0.126056, -0.012078, 0.249375, -0.28, -0.0371875
2.8188, 0, -0.004575, -0.123128, -0.0117425, 0.487812, -0.356562, 0.0153125
2.83442, 0, -0.004148, -0.123861, -0.012566, 0.363125, -0.422188, 0.0525
2.8532, 0, -0.0035685, -0.126331, -0.013176, 0.255937, -0.483438, 0.0634375
2.87197, 0, -0.0022265, -0.125813, -0.013237, 0.433125, -0.53375, 0.0371875
2.90322, 0, -0.000976, -0.122884, -0.011529, 0.6475, -0.457188, 0.0634375
2.91884, 0, -0.0008845, -0.122945, -0.0115595, 0.549062, -0.404687, 0.155312
2.93446, 0, -0.001037, -0.12508, -0.0130235, 0.34125, -0.380625, 0.223125
2.96097, 0, -0.001891, -0.127063, -0.013847, 0.28, -0.4025, 0.21875
2.98747, 0, -0.001281, -0.125996, -0.013176, 0.49875, -0.53375, 0.153125
3.01872, 0, -0.001586, -0.123311, -0.0125355, 0.632187, -0.37625, 0.133437
3.0377, 0, -0.002013, -0.122457, -0.011834, 0.573125, -0.315, 0.111562
3.05668, 0, -0.0019825, -0.123525, -0.01159, 0.389375, -0.286563, 0.124688
3.0723, 0, -0.001769, -0.12383, -0.0115595, 0.356562, -0.264688, 0.150937
3.08792, 0, -0.002318, -0.124104, -0.0111935, 0.347813, -0.260312, 0.185937
3.10355, 0, -0.0032025, -0.124592, -0.010919, 0.345625, -0.260312, 0.212187
3.1348, 0, -0.0039345, -0.124501, -0.010614, 0.417812, -0.277813, 0.269062
3.15354, 0, -0.0043005, -0.124745, -0.010919, 0.474688, -0.27125, 0.328125
3.17229, 0, -0.005185, -0.125355, -0.010431, 0.455, -0.282187, 0.328125
3.20353, 0, -0.0062525, -0.125843, -0.010065, 0.433125, -0.301875, 0.255937
3.21916, 0, -0.006161, -0.126117, -0.010675, 0.441875, -0.310625, 0.159688
