Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
1.2359999999,0.0796992927,-0.6481068134,0.4510588943,-0.244476363,-4.7672891616,5.2715215682
1.256,0.0730984359,-0.6466400027,0.4566818475,1.390459299,-4.5075330734,4.1560983657
1.276,0.0696757659,-0.6613085865,0.4703725278,1.0237448215,-3.6365859508,3.3157105445
1.296,0.071876049,-0.6884454488,0.4728172719,0.4431134164,-2.0780491828,3.8199431896
1.316,0.0765210986,-0.7231611013,0.4752620458,1.0084650516,-0.4583931863,4.6603307723
1.336,0.0691868141,-0.75543195,0.468661189,4.3088960647,0.1986370384,4.0491399765
1.356,0.0704091936,-0.7742566466,0.4830853044,6.6619811058,0.2750359177,3.0712342262
1.3759999999,0.0767655745,-0.7950371503,0.5187788605,7.8385233879,1.2376616001,2.7503590583
1.3959999999,0.0814106315,-0.819240272,0.5400483012,8.9997863769,1.8030132055,2.5975613594
1.4159999999,0.0907007306,-0.8466216325,0.5432264804,9.7637748718,1.9099715948,2.8573174476
1.4359999999,0.0951013043,-0.8610457181,0.5459157228,10.5124835968,2.1086087226,2.1391682624
1.4559999999,0.0992574021,-0.8774256706,0.5525165796,11.8876628875,2.6892399787,1.543256998
1.4759999999,0.099501878,-0.8891605138,0.5669406652,13.1100444793,3.3309905529,2.0780491828
1.4959999999,0.0924120619,-0.8808483481,0.5737860202,14.2713079452,3.5907466411,0.9931852221
1.516,0.0963236838,-0.88818264,0.5796534419,13.705956459,2.8725972175,-0.244476363
1.536,0.092167586,-0.8977171778,0.5891880393,11.7959842681,1.6502153873,-1.2223818302
1.556,0.0914341583,-0.9062739014,0.6036121249,9.7484951019,1.0695841312,-2.0627694129
1.576,0.1073251217,-0.9324328303,0.6153470277,8.6177921295,2.8267579078,-2.3225255012
1.596,0.1183265596,-0.9527243971,0.6297711133,7.51764822,3.9269015789,-3.0559544563
1.616,0.1097698882,-0.9715490341,0.6236591935,6.921737194,3.9421813488,-3.9574611186
1.6359999999,0.102924548,-0.9842618107,0.6190141439,6.1577482223,3.3004307746,-3.6977050304
1.6559999999,0.093389973,-0.9840173721,0.6449286341,3.2240319252,2.4753232002,-3.5449073314
1.6759999999,0.0985239744,-0.9730159044,0.6520184874,2.3836445808,3.5601871013,-3.7435443401
1.6859999999,0.102924548,-0.9774165153,0.6366164684,0.9473459124,3.8505027294,-3.2851510047
1.7059999999,0.1051248386,-0.9791278243,0.6302600502,-1.7724536657,3.101793766,-3.1781926155
1.7259999999,0.0955902561,-0.9830394387,0.6212144494,-4.6603307723,0.8862268328,-3.5143477916
1.7459999999,0.0948568284,-0.9732604026,0.5994560122,-6.9370169639,-2.1086087226,-3.2698712348
1.766,0.0980350226,-0.960547626,0.5982336401,-9.5956974029,-4.5228128433,-3.2851510047
1.786,0.11025884,-0.9336552023,0.5928551554,-10.2527275085,-5.6535158157,-3.101793766
1.806,0.1051248386,-0.910918951,0.5723191499,-9.9318523406,-5.8215932846,-2.6128411293
1.826,0.1021911203,-0.8832930922,0.571830213,-8.6177921295,-5.6382360458,-1.7724536657
1.846,0.1134370341,-0.855667293,0.5938330888,-9.8096141815,-4.5992116928,-1.100143671
1.866,0.1122146472,-0.8478440046,0.5830761194,-12.1015796661,-3.3157105445,-0.9320661425
1.8859999999,0.0943678766,-0.8409987092,0.5354032516,-12.3918952941,-3.4990680217,-0.3055954575
1.9059999999,0.0831219628,-0.8295083045,0.5055770874,-12.269657135,-4.7367296218,0.9473459124
1.9259999999,0.0794548168,-0.8180178999,0.5072884559,-11.1542339324,-5.2104024887,1.5890963077
1.9459999999,0.0867891088,-0.8033493161,0.5112000703,-9.6109771728,-4.6144914627,1.2682211399
