# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.54, 0.0319375, -0.53155, -0.691285, -1.17422, -0.950911, -0.574927, -0.534687, -1.04145, -0.93365, -1.43504, -1.48236, -1.6137, -1.91236, -1.87897, -1.46623, -1.52276, -1.86763, -1.78431, -1.88738, -2.37347, -2.6257
0.55, 0.0319375, -0.46216, -1.248, -1.23899, -1.10093, -0.763259, -0.897455, -1.27399, -0.840526, -1.06277, -1.28712, -1.41386, -1.57006, -1.65708, -1.61794, -1.25431, -1.63256, -1.71895, -1.92611, -2.10604, -2.43117
0.56, 0.0319375, -0.261779, -1.00405, -2.2315, -1.30053, -0.877018, -1.05389, -1.604, -0.994336, -1.23953, -1.39398, -1.30487, -1.38637, -1.56321, -1.55273, -1.2135, -1.73758, -1.79449, -1.78778, -2.00511, -2.15881
0.57, 0.0319375, -0.349597, -0.80085, -1.2748, -1.16843, -0.892875, -1.25599, -1.23136, -0.559834, -1.00139, -1.39444, -1.57536, -1.38643, -1.65349, -1.20234, -1.23429, -1.70903, -1.6933, -1.6648, -2.00725, -2.10543
0.58, 0.0319375, -0.360827, -0.682034, -1.11608, -0.789524, -0.960137, -1.13796, -1.17811, -0.67561, -0.859777, -1.5903, -1.73768, -1.30797, -1.30141, -1.26656, -1.29284, -1.77143, -1.55696, -1.66376, -2.30052, -2.16619
0.59, 0.0319375, -1.0724, -0.862106, -1.03636, -0.99479, -0.862955, -1.39335, -1.29568, -0.832998, -0.711435, -1.51587, -1.64655, -1.42746, -1.54858, -1.47855, -1.67255, -1.6868, -1.65441, -1.77303, -2.17536, -1.90952
0.6, 0.0319375, -0.471873, -0.17224, -1.12189, -0.757316, -0.649968, -1.13876, -1.09228, -0.940599, -0.96766, -1.19127, -1.37783, -1.2718, -1.72221, -1.56204, -1.55714, -1.84436, -1.73486, -1.81249, -2.03197, -2.24409
0.61, 0.0319375, -0.131265, -0.0765174, -0.857516, -0.778695, -0.884236, -0.802817, -0.70897, -0.479242, -1.02429, -1.38006, -1.61121, -1.5211, -1.62318, -1.34811, -1.32469, -1.56947, -1.73915, -1.88796, -2.08707, -2.29097
0.62, 0.0319375, -0.316527, -0.724898, -0.848728, -0.923586, -0.789025, -0.62153, -0.864066, -0.52033, -0.899895, -1.12816, -1.68702, -1.39847, -1.31444, -1.23499, -1.52547, -1.71089, -1.8726, -1.78407, -2.03042, -2.0751
0.63, 0.0319375, -0.143542, -0.387469, -1.10596, -0.766751, -0.842528, -0.88661, -1.46947, -0.913653, -0.933006, -1.04627, -1.80187, -1.40461, -1.4248, -1.31776, -1.5139, -1.71213, -1.77264, -1.7649, -2.02367, -1.91532
0.64, 0.0319375, -0.410907, -0.480775, -0.684183, -0.714985, -0.864282, -1.04558, -1.36793, -1.22584, -1.35161, -1.34807, -1.68316, -1.25423, -0.790246, -0.657229, -1.15023, -1.51063, -1.39512, -1.57824, -1.8413, -1.84799
0.65, 0.0319375, -0.124711, -0.0795658, -0.318097, -0.645482, -0.730751, -0.72637, -1.07681, -0.971452, -1.22421, -1.1416, -1.4518, -1.51368, -0.262883, -0.674717, -0.915631, -1.19895, -1.33359, -1.63759, -1.39806, -1.54243
0.66, 0.0319375, -0.809912, -0.346353, -0.419885, -0.837854, -0.596734, -0.359678, -1.063, -0.908054, -1.08093, -0.901701, -1.31746, -1.33142, -0.619089, -0.764554, -1.08294, -1.39548, -1.32833, -1.50291, -0.871743, -1.2686
0.67, 0.0319375, -0.381652, -0.156222, -0.685854, -1.14563, -0.280457, -0.504344, -1.05986, -0.852643, -0.952847, -0.978602, -1.37307, -1.23076, -0.801438, -0.666777, -1.06627, -1.3002, -1.43818, -1.3956, -0.780321, -1.07651
0.68, 0.0319375, -0.529361, -0.137402, -0.790647, -1.25915, -0.242729, -0.660289, -0.780948, -0.805632, -0.934509, -1.36722, -1.49184, -1.57068, -0.791422, -0.553736, -0.963692, -1.18515, -1.1544, -1.34942, -0.663082, -1.03613
0.69, 0.0319375, -0.506526, -0.0829227, -0.495027, -1.09685, -0.313826, -0.279622, -0.973295, -0.871253, -0.750139, -1.3538, -1.45783, -1.40841, -0.567645, -0.425509, -0.911539, -1.14935, -1.36522, -1.35598, -0.533244, -1.08834
0.7, 0.0319375, -0.669045, 0.210075, -0.506037, -1.02548, -0.369625, -0.317988, -1.17578, -1.09449, -1.1237, -1.19173, -1.14132, -1.30145, -0.566576, -0.768797, -0.901086, -1.15361, -1.29998, -1.23828, -0.409569, -1.0393
0.71, 0.0319375, -0.339735, 0.365419, -0.23524, -1.18782, -0.345898, -0.531783, -1.28979, -1.40453, -1.27217, -0.922656, -1.2841, -1.45542, -0.365116, -0.684063, -0.981755, -1.46537, -1.30626, -1.33172, -0.615394, -1.28046
0.72, 0.0319375, -0.891877, 0.5608, -0.139388, -1.42242, -0.749964, -0.785681, -1.00381, -1.14376, -1.1625, -1.2394, -1.01095, -1.14662, 0.0020966, -0.755769, -0.742404, -1.2739, -0.985861, -1.18128, -0.769316, -1.24315
0.73, 0.0319375, -0.211718, 0.685938, -0.137634, -1.52459, -0.690776, -0.554756, -0.930821, -1.16487, -0.66581, -1.0377, -1.06904, -1.18998, 0.0607185, -0.600841, -0.792908, -1.46009, -1.24316, -1.15152, -0.827641, -1.20276
0.74, 0.0319375, -0.75618, 0.998374, 0.0988779, -0.696091, -0.507327, -0.540045, -1.00194, -1.08719, -0.71353, -0.425433, -1.22347, -1.29933, -0.375607, -0.893242, -1.26751, -1.39549, -1.30075, -1.26748, -1.17048, -1.44906
0.75, 0.0319375, -1.12468, 0.979215, -0.119047, -0.632157, -0.703603, -1.38808, -0.738024, -1.04126, -0.793538, -0.477779, -1.79417, -1.60382, -0.377015, -0.823647, -1.2338, -1.3593, -1.27725, -1.43972, -1.04991, -1.72693
0.76, 0.0319375, -0.650979, 0.965041, -0.0731944, -1.11951, -0.813817, -0.775155, -0.656024, -1.12318, -1.045, -0.818082, -1.72631, -1.39686, -0.628927, -0.835239, -1.44668, -1.73804, -1.60842, -1.48281, -1.30169, -1.83706
0.77, 0.0319375, -0.611314, 0.579873, -0.592923, -0.924022, -0.933459, -0.703881, -1.5309, -1.69813, -0.892633, -0.586017, -1.28261, -1.43192, -1.12796, -1.56839, -1.49847, -1.79426, -1.73506, -1.85508, -1.73765, -2.00724
0.78, 0.0319375, -0.562541, 0.436922, -1.01094, -1.27165, -0.756967, -0.735109, -1.58351, -1.23843, -0.871483, -0.634106, -1.21274, -1.35951, -1.5424, -1.63879, -1.91792, -1.64244, -1.74384, -1.93533, -1.75973, -2.13491
0.79, 0.0319375, -0.574962, 0.554559, -0.550802, -0.955211, -0.913886, -0.74446, -0.683641, -0.963738, -1.49411, -1.11951, -1.19803, -1.58858, -1.44305, -1.36592, -1.63893, -1.52324, -1.86266, -2.00971, -1.89288, -2.08319
0.8, 0.0319375, -0.603903, 0.691404, -0.544154, -1.03387, -0.439671, -0.924363, -0.750151, -0.883405, -1.37312, -1.12831, -1.07842, -1.38537, -1.53639, -1.40992, -1.62839, -1.33762, -1.6933, -2.10011, -1.98125, -2.06623
0.81, 0.0319375, -0.34834, 0.780835, -0.790777, -1.17067, -0.762694, -0.98824, -0.758339, -0.982533, -1.0102, -0.931811, -0.833522, -1.0175, -0.983984, -1.14845, -1.29393, -1.48657, -1.5887, -1.92366, -2.06811, -2.29028
0.82, 0.0319375, -0.900707, 0.546166, -0.748541, -1.52699, -0.827268, -0.754921, -0.841051, -1.05708, -1.02197, -0.84394, -0.984368, -0.950848, -0.81616, -1.07242, -1.00718, -1.34826, -1.56078, -1.53055, -1.86309, -2.26058
0.83, 0.0319375, -0.716478, 0.621306, -0.890555, -0.970517, -0.770093, -0.780109, -0.4749, -0.771294, -1.10315, -0.562438, -0.922761, -1.01505, -0.618977, -0.527372, -0.369526, -1.17502, -1.68831, -1.6037, -2.06926, -2.20143
0.84, 0.0319375, -0.351794, 0.707205, -0.691013, -0.98133, -0.60133, -0.445284, -0.511757, -0.995718, -1.20482, -0.286374, -0.56157, -0.542983, -0.260025, -0.632368, -0.680952, -1.43613, -1.83135, -1.67012, -2.11565, -2.09619
0.85, 0.0319375, -0.129864, 0.762841, -0.556403, -1.10667, -0.667015, -0.616875, -0.93187, -1.10764, -1.17829, -0.15772, -0.332575, -0.699297, -0.630379, -1.06562, -0.86895, -1.31718, -1.82502, -1.95136, -2.20308, -2.26074
0.86, 0.0319375, -0.486205, 0.554381, -0.690032, -1.30006, -0.611602, -0.484279, -0.972925, -0.801913, -1.04549, -0.530941, -0.574199, -0.621701, -0.608156, -1.08205, -0.59107, -1.31632, -1.8058, -1.92256, -2.23617, -2.30456
0.87, 0.0319375, -0.327722, 0.348298, -0.32455, -0.912744, -0.740359, -0.279732, -1.20893, -0.717414, -0.886129, -0.36203, -0.529107, -0.884118, -0.592492, -0.917044, -0.514143, -1.47183, -1.88205, -1.90174, -2.20481, -2.43502
0.88, 0.0319375, -0.596038, -0.800518, -0.676159, -1.14992, -1.06726, -0.711639, -1.18216, -1.02259, -0.70069, -0.466505, -0.660194, -0.817865, -0.606745, -0.96877, -0.847943, -1.53578, -1.84038, -2.21433, -2.354, -2.35204
0.89, 0.0319375, -0.509834, -0.741814, -0.28175, -1.30376, -0.622732, -0.627481, -0.940841, -1.27564, -0.806196, -0.572985, -0.654901, -0.700782, -0.683455, -0.859225, -0.84767, -1.81329, -2.00854, -2.22654, -2.42597, -2.71088
0.9, 0.0319375, -0.505733, -0.566748, -0.377234, -1.26587, -0.603095, -0.474618, -1.05537, -1.07512, -0.50276, -0.448804, -0.644251, -0.812892, -0.819761, -0.921736, -0.915043, -1.66719, -1.85488, -1.91261, -1.8333, -2.49567
0.91, 0.0319375, -0.609543, -0.856594, -0.750418, -1.09672, -0.943721, -0.702841, -0.925893, -0.909638, -0.745795, -0.555481, -0.795991, -0.852508, -0.713241, -1.07386, -1.23891, -1.48941, -1.71942, -1.74912, -1.84622, -2.55962
0.92, 0.0319375, -0.344702, -0.94508, -0.843945, -0.929971, -1.21118, -1.10152, -0.843043, -0.94346, -0.525666, -0.720918, -1.15077, -0.753393, -0.59795, -1.27817, -1.11908, -1.66634, -1.59084, -1.6354, -2.08585, -2.44038
0.93, 0.0319375, -0.3864, -0.86562, -0.544305, -1.10341, -1.20163, -1.02449, -1.29691, -1.37273, -0.809547, -0.587668, -0.924864, -0.901254, -0.499924, -1.21534, -1.30006, -1.52664, -1.65704, -1.68977, -2.20725, -2.68304
0.94, 0.0319375, -0.376261, -0.785017, -0.494198, -1.05146, -0.634315, -0.868859, -1.81327, -0.923285, -0.731743, -0.499099, -0.858229, -0.399269, -0.20524, -0.895652, -0.897285, -1.70625, -1.83829, -1.72905, -2.06457, -2.67802
0.95, 0.0319375, -0.0373443, -0.698516, -0.622488, -1.18052, -0.515795, -0.864299, -1.65968, -1.12574, -0.937255, -0.772968, -0.924554, -0.402226, -0.271181, -0.789037, -1.16654, -1.86268, -1.65469, -1.83371, -2.08572, -2.53029
0.96, 0.0319375, -0.3709, -0.981885, -0.71177, -1.00643, -0.898394, -0.951816, -1.08547, -1.04518, -0.989742, -0.52327, -1.14983, -0.859817, -0.497063, -0.717822, -1.30632, -1.74113, -1.84619, -1.86526, -2.06491, -2.45411
0.97, 0.0319375, -0.359993, -0.75106, -0.813875, -0.929084, -0.918326, -0.955713, -1.0951, -1.09984, -1.21574, -0.212259, -1.1091, -0.999968, -0.68841, -0.946467, -1.30781, -1.72463, -1.85204, -1.88436, -1.9994, -2.37739
0.98, 0.0319375, -0.461388, -1.14157, -1.44555, -1.06398, -1.16107, -0.911083, -0.917361, -1.26791, -0.888019, 0.0232013, -1.20691, -0.449091, -0.448803, -1.02758, -1.05662, -1.42876, -1.85455, -1.95976, -2.05635, -2.36526
0.99, 0.0319375, -0.612707, -1.02414, -1.55264, -1.08724, -1.01123, -1.1071, -0.746443, -0.867595, -0.976688, -0.0868647, -1.09432, -0.517568, -0.586565, -0.991469, -0.76414, -1.25288, -1.8356, -2.04779, -2.26175, -2.44323
1, 0.0319375, -0.754187, -0.952058, -1.61147, -0.922483, -1.1712, -1.18205, -0.899988, -0.761249, -0.958489, -0.671155, -1.02491, -0.391751, -0.423612, -0.783322, -0.929331, -1.45554, -1.58611, -1.77749, -2.17141, -2.34571
