# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.38, 0.0319375, -0.704414, -1.24039, -1.02635, -0.9457, -1.16746, -1.10956, -1.01406, -1.01844, -0.932504, -0.702423, -0.869756, -1.23804, -1.77355, -1.42234, -1.7711, -2.49141, -2.15479, -2.30653, -3.47917, -4.67734
0.39, 0.0319375, -0.674088, -0.664424, -0.786399, -0.659334, -0.974644, -1.03352, -0.881004, -0.847292, -0.511117, -0.972386, -1.08322, -1.46396, -2.0251, -1.73952, -2.04692, -2.77298, -2.26204, -2.39751, -3.71555, -5.09029
0.4, 0.0319375, -0.386655, -1.14241, -0.989764, -0.762861, -0.568969, -0.580567, -0.665522, -0.65899, -0.816677, -0.912934, -1.00674, -1.5206, -2.06946, -1.414, -2.05925, -3.16656, -2.28546, -2.37837, -3.76794, -5.1454
0.41, 0.0319375, -0.512545, -0.774467, -1.11045, -0.898561, -0.530885, -0.363745, -0.874842, -0.955796, -0.842704, -1.0584, -0.846662, -1.28765, -1.74916, -1.2729, -2.42208, -2.97793, -2.26521, -2.44291, -3.70604, -4.68451
0.42, 0.0319375, -0.38057, -0.768063, -0.896577, -1.04969, -0.711117, -0.63871, -0.951047, -1.06038, -0.763544, -1.13583, -0.851377, -1.26563, -1.81854, -1.1006, -2.40377, -2.63608, -2.14668, -2.4316, -3.55215, -4.40584
0.43, 0.0319375, -0.00901555, -0.958125, -1.35747, -0.896442, -0.408908, -0.36905, -0.798149, -1.03314, -0.857116, -0.814447, -1.0572, -1.55668, -1.81155, -1.28465, -2.50905, -2.71818, -2.00224, -2.42147, -3.52499, -4.05154
0.44, 0.0319375, -0.592793, -0.65217, -0.789728, -1.00158, -0.584504, -0.662331, -1.18271, -0.999236, -0.992991, -1.01442, -0.92118, -1.61537, -1.67759, -1.2415, -2.71841, -2.35653, -2.22354, -2.3639, -3.53174, -3.86883
0.45, 0.0319375, -0.118104, -0.523735, -0.914689, -1.04053, -0.905132, -0.763284, -0.86414, -1.04179, -1.05838, -1.44487, -1.14028, -1.41103, -1.42152, -1.50416, -2.74415, -2.32788, -2.27558, -2.33328, -3.43417, -3.80421
0.46, 0.0319375, -0.617201, -0.820278, -1.15864, -0.89923, -0.507208, -0.633673, -0.589323, -0.922142, -0.430736, -1.08846, -0.923131, -1.1902, -1.70107, -1.54521, -2.52777, -2.1587, -2.14092, -2.50134, -3.3675, -3.8941
0.47, 0.0319375, -1.11573, -0.79499, -1.01534, -0.766771, -0.442966, -0.609756, -0.694423, -1.22074, -0.787996, -0.988507, -0.794814, -1.1375, -1.76808, -1.32765, -2.38085, -2.07933, -2.13678, -2.35535, -3.44329, -3.74458
0.48, 0.0319375, -0.554753, -0.40693, -0.969601, -1.00548, -0.523262, -0.302305, -0.706503, -1.1897, -0.592352, -0.694803, -1.06986, -1.11638, -1.9465, -1.26722, -2.43747, -2.12521, -2.09553, -2.3538, -3.58371, -3.85636
0.49, 0.0319375, -1.28406, -0.451854, -0.767008, -1.48546, -1.12222, -0.808178, -0.997561, -0.870978, -0.392566, -0.440184, -1.08915, -1.06606, -2.03345, -1.19295, -2.51369, -2.03834, -1.97054, -2.2876, -3.67291, -3.87442
0.5, 0.0319375, -0.58425, -1.00762, -1.00735, -0.918947, -1.02649, -0.718554, -0.795758, -0.440757, -0.574604, -0.584011, -0.826369, -0.836175, -1.72565, -1.37658, -2.32654, -1.91227, -2.07292, -2.2599, -3.60946, -4.01062
0.51, 0.0319375, -0.364202, -0.473328, -1.04372, -0.758701, -0.510973, -0.581267, -0.921968, -0.744685, -0.503921, -0.666936, -0.903432, -1.11952, -1.47729, -1.02802, -2.47386, -1.80215, -2.11706, -2.35483, -3.53052, -4.04278
0.52, 0.0319375, -0.305198, -1.12491, -1.26321, -0.850326, -0.505048, -0.565841, -0.608847, -0.477996, -0.734122, -0.685279, -1.04995, -1.13636, -1.45249, -1.3067, -2.15055, -1.87127, -2.4258, -2.31106, -3.3616, -3.67017
0.53, 0.0319375, -0.892766, -1.08843, -1.15414, -0.872683, -0.294542, -0.501529, -0.36413, -0.33057, -0.654428, -0.398248, -0.833549, -1.08342, -1.52598, -1.16466, -1.7807, -1.55702, -2.5834, -2.42847, -3.33144, -3.80462
0.54, 0.0319375, -1.0826, -0.991902, -0.721133, -0.702583, -0.448825, -0.635207, -0.851753, -1.17149, -0.826326, -0.447502, -1.06414, -1.33821, -1.27423, -1.13265, -1.95462, -1.82578, -2.61739, -2.66162, -3.32236, -3.74475
0.55, 0.0319375, -1.01394, -1.35111, -1.05206, -0.83754, -0.871063, -0.658107, -0.749022, -0.592814, -0.69183, -0.619197, -1.01313, -1.00654, -1.48435, -1.50503, -2.16661, -1.88029, -2.27353, -2.461, -3.44741, -3.74985
0.56, 0.0319375, -0.661139, -1.19203, -1.08347, -0.7416, -0.79012, -0.84952, -0.725951, -0.779552, -0.63647, -0.782109, -0.899588, -0.983667, -1.3787, -1.4502, -2.16604, -1.8497, -2.17787, -2.52373, -3.5315, -3.69864
0.57, 0.0319375, -0.66073, -1.49717, -1.75609, -0.100198, -0.353902, -1.01924, -0.856007, -0.684835, -1.07962, -0.847059, -0.711243, -0.917, -1.40488, -1.38351, -2.14026, -2.15879, -2.32441, -2.55885, -3.74077, -3.99783
0.58, 0.0319375, -0.70376, -0.684068, -0.459684, -0.0878756, -0.435543, -0.699886, -0.566806, -0.936255, -1.27969, -0.79209, -1.12377, -0.833695, -1.16362, -0.968877, -2.08424, -2.1836, -2.28223, -2.28223, -3.89146, -3.81851
0.59, 0.0319375, -0.359222, -0.290893, -0.243815, -0.518877, -0.598766, -0.737366, -0.755789, -0.765473, -0.8995, -0.7373, -1.05112, -0.793075, -1.34083, -1.65893, -2.21794, -2.26166, -2.1814, -2.14719, -3.77577, -3.76099
