Time (seconds), x, y, z
6.480,0.18017578, 1.1496582, 2.5737305
6.500,-0.24365234, -0.039794922, 2.555664
6.520,-0.2553711, -0.47680664, 2.3747559
6.540,-0.24731445, -0.80126953, 2.1174316
6.560,0.08081055, -1.592041, 1.7924805
6.580,0.19824219, -1.8491211, 0.9316406
6.600,-0.22338867, -1.3115234, 0.08544922
6.621,-0.6052246, -1.3869629, -0.21777344
6.641,-0.63061523, -1.6230469, -0.2536621
6.661,-0.2705078, -1.4938965, -0.041992188
6.681,-0.0925293, -1.204834, 0.32617188
6.701,0.032958984, -1.1049805, 0.9909668
6.721,-0.8901367, -0.84814453, 1.7099609
6.742,-1.3356934, -1.7954102, 2.354248
6.762,0.22705078, -2.2121582, 4.4345703
6.782,1.6293945, -0.8779297, 5.961426
6.802,1.545166, 0.85717773, 4.777832
6.822,0.6557617, 1.6862793, 3.02417
6.842,0.010253906, 1.7209473, 1.8623047
6.862,-0.19091797, 2.234375, 0.77734375
6.882,-0.20166016, 2.4296875, -0.07788086
6.902,0.19921875, 2.244873, -0.43310547
6.922,0.66015625, 2.203125, -0.7963867
6.942,0.29418945, 2.2163086, -1.2949219
6.962,0.0087890625, 1.8222656, -1.1604004
6.982,0.14672852, 1.3549805, -0.6357422
7.002,0.21020508, 0.85913086, 0.09472656
7.022,-0.0034179688, 0.5437012, 0.70874023
7.042,-0.2644043, 1.0151367, 1.8034668
7.062,0.5678711, 1.4560547, 3.5649414
7.082,2.4501953, 0.5620117, 3.6506348
7.102,1.5917969, -0.33154297, 3.2011719
7.122,0.12573242, -0.95874023, 2.161377
7.143,-1.2888184, -1.3564453, 1.0361328
7.163,-1.8525391, -1.7404785, 0.58374023
7.183,-1.4189453, -1.7265625, 0.30810547
7.203,-1.1962891, -1.3908691, 0.34814453
7.223,-0.6188965, -0.6791992, 0.29467773
7.243,-0.3034668, -0.16455078, 0.2680664
7.263,-0.103027344, -0.01171875, 0.21362305
7.283,-0.045166016, 0.037353516, 0.15185547
7.303,0.022949219, 0.32177734, 0.12109375
7.323,0.038085938, 0.70581055, 0.421875
7.344,0.3503418, 0.89990234, 0.96118164
7.364,0.9663086, 1.0490723, 1.2053223
7.384,1.0961914, 1.7746582, 1.1264648
7.404,0.8261719, 2.3493652, 0.98217773
7.424,0.62524414, 1.9375, 1.019043
7.444,0.6760254, 0.6188965, 1.5437012
7.464,-0.07739258, 0.6437988, 1.512207
7.484,0.84936523, 1.5803223, 2.8378906
7.504,1.9360352, 2.3659668, 3.3447266
7.524,1.0942383, 0.6875, 3.1635742
7.545,0.32104492, -0.8918457, 2.5249023
7.565,-0.099609375, -1.2905273, 1.565918
7.585,-0.3474121, -0.94384766, 0.88378906
7.605,-0.046875, -0.40283203, 0.5354004
7.625,0.26611328, 0.03466797, 0.4411621
7.645,0.48535156, 0.06323242, 0.5361328
7.665,0.23461914, -0.19848633, 0.6765137
7.685,0.09350586, -0.6218262, 0.7253418
7.705,-0.2849121, -1.0756836, 0.82788086
7.725,-0.8520508, -1.1960449, 0.71240234
7.745,-0.60839844, -1.2817383, 0.6374512
7.765,-0.5998535, -0.9589844, 0.70996094
7.785,-0.564209, -0.58813477, 0.6999512
7.805,-0.8869629, 0.09692383, 0.50927734
7.825,-0.74243164, 0.49169922, 0.77319336
7.845,-0.5913086, 0.26416016, 0.81640625
7.865,-0.64941406, 0.20947266, 0.77978516
7.885,-0.80078125, 0.3347168, 0.64697266
7.905,-1.027832, 0.69018555, 0.5
7.925,-1.0727539, 0.93188477, 0.62402344
7.946,-0.9885254, 1.0827637, 0.93481445
7.966,-0.7055664, 0.84399414, 1.4736328
7.986,-0.045410156, -0.017333984, 1.8742676
8.006,-0.06542969, 0.3684082, 1.5283203
8.026,-0.004638672, 0.7590332, 1.1550293
8.046,0.18701172, 0.77490234, 1.1201172
8.066,0.46948242, 0.39038086, 1.0075684
8.086,0.099609375, -0.0073242188, 1.0947266
8.106,-0.44506836, 0.4477539, 1.0805664
8.126,-0.61083984, 0.7236328, 1.0383301
8.147,-0.5029297, 0.28588867, 1.0649414
8.167,-0.34838867, -0.6142578, 1.1518555
8.187,-0.49389648, -1.0241699, 0.9538574
8.207,-0.5656738, -0.9133301, 0.5578613
8.227,-0.5793457, -0.6845703, 0.24951172
