# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.33, 0.0319375, 0.96952, 0.868203, 0.12725, -0.891122, -0.889697, -1.01735, -0.958155, -1.13045, 0.182853, 0.583143, -0.120583, -0.960262, -0.809566, -0.586529, -0.277194, -0.174657, -0.474727, -0.451213, -0.710877, -1.26888
0.34, 0.0319375, 0.968435, 1.2126, 0.480355, -0.334321, -0.698843, -1.23194, -0.886527, -1.04405, -0.0706816, 0.540539, -0.157928, -0.580644, -0.767087, -0.43139, -0.161816, -0.266413, -0.512788, -0.603207, -0.710875, -0.915158
0.35, 0.0319375, 0.855117, 1.41544, 0.501088, 0.0846478, -0.387394, -0.911479, -0.716183, -0.966407, -0.103918, 0.330841, -0.0914198, -0.375544, -0.720173, -0.688423, -0.504579, -0.521513, -0.647295, -0.548653, -0.526394, -0.831122
0.36, 0.0319375, 1.19261, 1.51167, 0.701956, 0.137331, -0.257992, -0.284354, -0.526417, -0.726284, -0.259533, 0.291253, 0.0772231, -0.430554, -0.0879194, -0.274944, -0.0265174, 0.234454, 0.0963291, 0.150623, -0.11069, -0.521553
0.37, 0.0319375, 1.05897, 1.29315, 0.854778, 0.419056, -0.147058, 0.068714, -0.550493, -0.523942, 0.0883946, 0.653426, -0.2618, -0.383532, 0.0453207, -0.0376832, 0.125302, 0.0891158, 0.141087, -0.0978653, -0.265236, -0.727073
0.38, 0.0319375, 1.04898, 0.837793, 0.851179, 0.407229, 0.607326, 0.171298, -0.189301, -0.457642, -0.108865, 0.080934, -0.109163, -0.0922872, -0.225174, -0.256757, -0.364568, -0.278228, -0.0136186, -0.293706, -0.462696, -0.876655
0.39, 0.0319375, 0.920702, 0.48564, 0.902129, 0.577183, 0.848883, 0.151963, -0.273946, -0.616042, -0.0776297, 0.13993, 0.100678, -0.133495, -0.231484, -0.224082, -0.338828, -0.400524, -0.138821, -0.261854, -0.517253, -0.974304
0.4, 0.0319375, 0.787426, 0.970106, 0.940116, 0.699877, 0.457398, 0.109029, -0.422958, -0.400396, -0.145147, -0.205152, 0.131081, -0.190232, -0.0718847, -0.370536, -0.448494, -0.462423, -0.038835, -0.331331, -0.550719, -0.658785
0.41, 0.0319375, 0.909619, 0.917053, 1.05046, 0.0932998, -0.104619, 0.0152827, -0.342282, -0.502406, -0.108367, 0.135271, -0.0727394, -0.274823, -0.253694, -0.368267, -0.511845, -0.590266, -0.246309, -0.489546, -0.570226, -0.706012
0.42, 0.0319375, 0.471068, 0.99915, 0.732854, 0.486089, 0.428711, 0.00376124, -0.204959, -0.0822817, 0.261237, 0.242865, 0.125131, 0.0162369, -0.0794742, -0.46804, -0.319301, -0.578853, -0.627778, -0.78744, -0.648201, -0.878166
0.43, 0.0319375, 0.517975, 1.00522, 0.865458, 0.406597, 0.00688656, 0.0972672, 0.130597, -0.197365, 0.389448, 0.0373725, -0.361999, -0.222525, -0.0512406, -0.411721, -0.294567, -0.79634, -0.728468, -0.629481, -0.774918, -1.01236
