# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.33, 0.0319375, -1.88759, -2.04744, -2.88333, -1.31795, -1.42822, -2.38371, -2.03153, -2.71247, -3.00475, -2.88607, -2.47772, -1.56677, -1.71453, -2.62378, -3.46423, -3.18465, -3.93062, -5.03175, -4.88388, -5.29676
0.34, 0.0319375, -1.82608, -2.41713, -2.27087, -1.60841, -0.907395, -1.73778, -2.45256, -2.74822, -2.88498, -2.59763, -2.26867, -1.39334, -1.69758, -2.90647, -3.51866, -3.28158, -4.09221, -5.10633, -4.8178, -5.01407
0.35, 0.0319375, -2.61019, -2.95597, -2.43214, -1.5067, -0.893987, -1.83805, -2.20592, -2.80026, -2.76681, -2.39839, -2.38834, -1.68601, -1.92276, -3.16883, -3.51553, -3.35884, -4.23616, -4.75957, -4.54292, -4.95015
0.36, 0.0319375, -3.1904, -2.98818, -2.2167, -1.46699, -0.999536, -1.92867, -2.30883, -2.80173, -3.00513, -2.60754, -2.07053, -1.49734, -1.90449, -2.89404, -3.41355, -3.38546, -4.2506, -4.41657, -4.68196, -4.86908
0.37, 0.0319375, -2.06569, -2.84251, -2.40514, -1.3885, -1.34789, -1.98281, -2.46332, -2.72656, -3.24218, -2.7407, -2.37661, -1.98248, -2.19235, -3.25625, -3.549, -3.29232, -4.4686, -4.72444, -4.65745, -4.7724
0.38, 0.0319375, -2.31891, -2.23138, -3.18464, -1.64657, -1.42479, -2.27727, -2.27163, -3.05558, -3.34269, -3.22939, -3.22406, -2.43697, -2.62942, -3.56542, -4.15814, -3.66575, -4.33366, -4.59667, -4.75795, -5.0256
0.39, 0.0319375, -2.33433, -1.75052, -3.0016, -2.2526, -1.78519, -2.58044, -2.57418, -3.26918, -3.3938, -3.42009, -3.44257, -2.86073, -2.95171, -3.67473, -4.02487, -4.04879, -4.25108, -4.68106, -4.80735, -4.77066
0.4, 0.0319375, -3.03094, -2.2795, -3.34829, -2.84267, -2.13799, -2.25213, -2.64275, -3.1071, -3.87284, -3.77152, -3.64436, -3.26715, -3.01549, -3.60175, -4.05165, -3.85417, -4.45296, -4.84796, -4.78005, -4.72179
0.41, 0.0319375, -3.45718, -3.21962, -3.06469, -3.08187, -2.47532, -2.25792, -2.92606, -3.16772, -3.81229, -3.71101, -3.64376, -3.01524, -2.89514, -3.59075, -3.99521, -3.85458, -4.51896, -4.86687, -4.75146, -4.83185
0.42, 0.0319375, -4.35365, -4.02941, -3.52788, -3.15538, -2.8918, -3.10043, -3.09693, -3.31361, -3.70438, -3.76634, -3.78199, -2.97216, -3.30345, -3.96757, -4.51891, -4.43153, -4.43661, -4.83913, -4.84386, -4.80149
0.43, 0.0319375, -4.55063, -3.62655, -4.02099, -3.2093, -3.02788, -2.73866, -3.06212, -3.50633, -4.0378, -3.90184, -3.86972, -3.09496, -3.60421, -4.38016, -4.86498, -4.67748, -4.62695, -4.66667, -4.99589, -5.02142
0.44, 0.0319375, -4.28293, -3.82854, -4.43708, -3.21003, -3.01907, -2.77591, -3.43484, -3.70299, -3.91628, -4.19473, -3.92352, -3.88702, -4.05901, -4.14866, -4.55093, -4.54532, -5.01752, -4.95871, -4.75288, -5.00876
0.45, 0.0319375, -4.35062, -3.93526, -4.17951, -3.03531, -2.74968, -2.64465, -3.45467, -3.48599, -4.0963, -4.29779, -4.17433, -3.76636, -3.96694, -4.30688, -4.47932, -4.41955, -4.81426, -5.0906, -4.91468, -4.95945
